Time;Channel;Count
2021-04-15 09:41:50.908655;Switch_on;1
2021-04-15 09:41:50.910302;Nederlands;1
2021-04-15 09:41:50.920550;Switch_on;1
2021-04-15 09:41:50.922164;Nederlands;1
2021-04-15 09:41:50.932399;Switch_on;1
2021-04-15 09:41:50.934009;Nederlands;1
2021-04-15 09:41:50.944241;Switch_on;1
2021-04-15 09:41:50.945851;Nederlands;1
2021-04-15 09:41:50.956088;Switch_on;1
2021-04-15 09:41:50.957692;Nederlands;1
2021-04-15 09:41:50.967925;Switch_on;1
2021-04-15 09:41:50.969537;Nederlands;1
2021-04-15 09:41:50.979818;Switch_on;1
2021-04-15 09:41:50.981672;Nederlands;1
2021-04-15 09:41:50.991970;Switch_on;1
2021-04-15 09:41:50.993598;Nederlands;1
2021-04-15 09:41:51.003832;Switch_on;1
2021-04-15 09:41:51.005446;Nederlands;1
2021-04-15 09:41:51.015681;Switch_on;1
2021-04-15 09:41:51.017295;Nederlands;1
2021-04-15 09:41:51.027531;Switch_on;1
2021-04-15 09:41:51.029140;Nederlands;1
2021-04-15 09:41:51.039372;Switch_on;1
2021-04-15 09:41:51.041024;Nederlands;1
2021-04-15 09:41:51.051270;Switch_on;1
2021-04-15 09:41:51.052888;Nederlands;1
2021-04-15 09:41:51.063124;Switch_on;1
2021-04-15 09:41:51.064729;Nederlands;1
2021-04-15 09:41:51.074997;Switch_on;1
2021-04-15 09:41:51.076781;Nederlands;1
2021-04-15 09:41:51.087068;Switch_on;1
2021-04-15 09:41:51.088709;Nederlands;1
2021-04-15 09:41:51.098946;Switch_on;1
2021-04-15 09:41:51.100602;Nederlands;1
2021-04-15 09:41:51.110848;Switch_on;1
2021-04-15 09:41:51.112463;Nederlands;1
2021-04-15 09:41:51.122701;Switch_on;1
2021-04-15 09:41:51.124338;Nederlands;1
2021-04-15 09:41:51.134574;Switch_on;1
2021-04-15 09:41:51.136189;Nederlands;1
2021-04-15 09:41:51.146423;Switch_on;1
2021-04-15 09:41:51.148031;Nederlands;1
2021-04-15 09:41:51.158263;Switch_on;1
2021-04-15 09:41:51.159873;Nederlands;1
2021-04-15 09:41:51.170110;Switch_on;1
2021-04-15 09:41:51.171749;Nederlands;1
2021-04-15 09:41:51.182040;Switch_on;1
2021-04-15 09:41:51.183847;Nederlands;1
2021-04-15 09:41:51.194113;Switch_on;1
2021-04-15 09:41:51.195736;Nederlands;1
2021-04-15 09:41:51.205970;Switch_on;1
2021-04-15 09:41:51.207577;Nederlands;1
2021-04-15 09:41:51.217808;Switch_on;1
2021-04-15 09:41:51.219417;Nederlands;1
2021-04-15 09:41:51.229654;Switch_on;1
2021-04-15 09:41:51.231300;Nederlands;1
2021-04-15 09:41:51.241556;Switch_on;1
2021-04-15 09:41:51.243163;Nederlands;1
2021-04-15 09:41:51.253396;Switch_on;1
2021-04-15 09:41:51.255005;Nederlands;1
2021-04-15 09:41:51.265239;Switch_on;1
2021-04-15 09:41:51.266843;Nederlands;1
2021-04-15 09:41:51.277115;Switch_on;1
2021-04-15 09:41:51.278917;Nederlands;1
2021-04-15 09:41:51.289189;Switch_on;1
2021-04-15 09:41:51.340587;Nederlands;1
2021-04-15 09:41:51.350985;Switch_on;1
2021-04-15 09:41:51.411057;Nederlands;1
2021-04-15 09:41:51.421453;Switch_on;1
2021-04-15 09:41:51.482834;Nederlands;1
2021-04-15 09:41:51.493225;Switch_on;1
2021-04-15 09:41:51.548606;Nederlands;1
2021-04-15 09:41:51.559245;Switch_on;1
